email_subject,email_body,email_category,urgency level
Fair Product Experience,fair nice,feedback,medium
Average but Wonderful,wonderful average,feedback,medium
Useless Product Not Working,useless product not working,feedback,medium
Value for Money Purchase,just wow! its worth for the money,feedback,medium
Pretty Good and Beautiful,pretty good looks nice and beautiful,feedback,medium
Wonderful and Awesome,wonderful just like awesome,feedback,medium
Mixed Review: Brightness and Sound Issues,nice cons low brightnesslow sound as compared to asus tuf 15 inchprosprice 4825017 inch,feedback,medium
Good Enough Quality,pretty good quality is good enough,feedback,medium
Super Quality Product,super! nice quality,feedback,medium
Great Product at Good Price,great product good product at this price range,feedback,medium
Decent Product with Good Service,decent product evrege product and good service by flipkart thanks,feedback,medium
Simply Awesome Item,simply awesome this item is super,feedback,medium
Perfect Product with Gratitude,perfect product! thanku flipcart,feedback,medium
Excellent Value for Money,worth every penny very good product i love this,feedback,medium
Delightful Purchase,delightful nice product,feedback,medium
Simply Awesome Quality,simply awesome good,feedback,medium
Unspecified but Very Good Product,not specified its really a very very good product,feedback,medium
Great Product Overall,great product great product,feedback,medium
Brilliant Touchscreen and Clarity,brilliant very good touch screen and clarity,feedback,medium
Unsatisfactory App Connectivity,unsatisfactory very bad stb and tubicast app not connected,feedback,medium
Simply Awesome Again,simply awesome good,feedback,medium
Excellent Headphone with Superb Bass,excellent this is best headphone in this price range so farbass is too good that you can even experience a real bass woofer system with his headphonebattery backup is superb build quality is good a bit sporty look which makes it more cool awesome bluetooth connectivity just one thing is that there is a minimal sound leak but its fine when you have such a great sound and bass quality,feedback,medium
Budget Product with Noise Issues,just okay nice budget product but makes a lot of noise,feedback,medium
Really Nice Camera,really nice excellent camera its a price worthy,feedback,medium
Nice Product with Good Quality,nice product very nice product quality is very good,feedback,medium
Wonderful but Battery Not Good,wonderful all is good but bat is not gud,feedback,medium
Simply Awesome Super,simply awesome super,feedback,medium
Good Choice but Vessel Issue,good choice worth buying this product milk vessels some times salt colored layered on all vessels,feedback,medium
Works as Promised,What can I say about it works as promised and just what I needed for my new cell phone  what more do you need Just what I needed,feedback,medium
Value for Money Toy,value-for-money best thing and best toy,feedback,medium
Mind-blowing Purchase,mind-blowing purchase nice product in range,feedback,medium
Terrific Purchase,terrific purchase awssmm,feedback,medium
Nice Product, nice product,feedback,medium
Classy Product,classy product good,feedback,medium
Classy and Happy,classy product i am happy,feedback,medium
Terrible Product with No Timer,terrible product it keep washing no timer,feedback,medium
Expected Better Quality,expected a better product not good quality,feedback,medium
Thanks Flipkart Team, thenks flipkart team,feedback,medium
Horrible Product,horrible dont buy it worst product on fc,feedback,medium
Just Wow Nice,just wow! nice,feedback,medium
Fabulous Product,fabulous! good product,feedback,medium
Just Okay but Fabulous,just okay its nicefablous one,feedback,medium
Pretty Good Value for Money,pretty good value for money all over product good,feedback,medium
Super Value for Money,super! super value for money,feedback,medium
Good Choice Genuine Powerbank,good choice loved the powerbank guys it is genuine review and i already have many mi products like redmi note 6 proy2 43 inch tv etc so the powerbank quality is good but battery backup is slightly small overall the product is good,feedback,medium
Excellent Product,excellent good,feedback,medium
Great V-Guard Product,great product since it is a v guard product the name itself is enough to highlight its quality just immaculate purchase,feedback,medium
Terrific Fragrance,terrific fabulous love their fragrance,feedback,medium
Not Recommended Connectivity Problem,not recommended at all connectivity problem worst dont buy purchase another good company,feedback,medium
Wonderful Nice,wonderful nice,feedback,medium
Unspecified Average,not specified average,feedback,medium
Worth It for Money, worth it for money,feedback,medium
Mind-blowing Flask Purchase,mind-blowing purchase the flask is so good ordered it and got it the next day i bought a 500ml flask for easy mobility and it serves the purpose the quality of the product is very good its sturdy and hard the insulation is also good it keeps the beverage hot ultimately the heat will reduce after long time but it still was warm enough the flip lid is a really good one for easy use no leakage,feedback,medium
Does the Job but Size Issue,does the job size is not perfect,feedback,medium
Best in the Market Value for Money,best in the market! value for money in my first review,feedback,medium
Classy Super Product,classy product super product,feedback,medium
Value for Money Nice,value-for-money nice,feedback,medium
Worth Every Penny Nice,worth every penny nice,feedback,medium
Excellent Product,excellent very good product,feedback,medium
Excellent Seasonal Purchase,excellent khub bhalo next year i bought early before start seasons,feedback,medium
Okay Product, ok,feedback,medium
Perfect Product Good,perfect product! good,feedback,medium
Great DSLR Accessory,Everyone should buy this product who likes to record with their dslr.. Works great with my canon dslr.. Great product.. Mini Sd card..,feedback,medium
Best in the Market Wow,best in the market! woww,feedback,medium
Fabulous Good,fabulous! good,feedback,medium
Worth Every Penny Nice,worth every penny nice,feedback,medium
Unspecified Good Product,not specified good product,feedback,medium
Short-lived Galaxy S4 Accessory,"Worked great in my galaxy s4 and died about 2 months later, what a waste of a lot of money! died after a month",feedback,medium
Best in the Market Very Nice,best in the market! very nice product,feedback,medium
Worth Every Penny Crompton Cooler,worth every penny a quality product from crompton it looks exactly like in the website is easy to set up and use please refer the room size charts while buying from the product line this one is meant for a somewhat large room there are 3 speed controls a couple more on the lesser side would have been better the smell from the cooling pads reported in a couple of other reviews was there but mostly dissipated within the first 8 hours of use finally this cooler consumes a lot of water 3lhr so it w,feedback,medium
Waste of Money, waste of money,feedback,medium
Average Quality at Low Price, quality is not that much good but its ok at this price,feedback,medium
Perfect Product with Brilliant Sound,perfect product! even though its have 2k display ppi is less sound quality is brilliant price is little bit on higher side considering price the display should have atlest 90 hz refresh rate camera is above average and flash is missing overall its good purchase,feedback,medium
Classy Google Product,classy product excellent product of google,feedback,medium
Excellent Best,excellent best,feedback,medium
Must Buy Quality Product,must buy! this is very good hard best quality product,feedback,medium
Classy Okay Product,classy product ok,feedback,medium
Works Great Galaxy S4,works great in my galaxy s4 Five Stars,feedback,medium
Unspecified Good One,not specified gud one,feedback,medium
Fair Build Quality Not Good,fair bild quality is not good,feedback,medium
Wonderful Super,wonderful super,feedback,medium
Excellent Easy Assembly,excellent its really good product easy to assemblegood quality must buy,feedback,medium
Unspecified Good,not specified good,feedback,medium
Moderate Noisy Machine,moderate this can sound like worth every penny deal but its not quality is not good machine makes a lot of noise while risnebetter spend few more thousand and buy a quality product,feedback,medium
Casual Usage Consideration, you can consider it for casual usage,feedback,medium
Value for Money Product,value-for-money nyc product,feedback,medium
Fabulous Very Good Product,fabulous! very good product,feedback,medium
Good Budget Product with Noise,good nice products in budget but little noise item when battery charging mode is on,feedback,medium
Good SD Card for Note 3,"I have this in my Samsung Galaxy Note 3 and love it. It houses all of my music and pictures without issue. It does seem like R/W speed is a bit slow, but really can't complain. Good SD Card",feedback,medium
Very Good Water Purifier,very good worth buying this product clean pure good taste of water started using since 2 days and the installation was also good by the engineer but one thing please buy extra filter separately do not take from them as they are charging very high rest all good,feedback,medium
A Must Accessory,"A must for any device when u need extra space, adapter allows easy transfer of info such as pictures, music or documents A must",feedback,medium
Nice Product but Late Delivery,nice product product good but flipkart always delivered late,feedback,medium
Terrific Purchase Mouse and Keyboard,terrific purchase mouse isnt good keyboards worth,feedback,medium
Unspecified Very Bad Quality,not specified very bad quality plzz dont buy,feedback,medium
Terrific Purchase Well Designed,terrific purchase well designed and super qualitytoday i just recieved this product its best for small family like 4 to 5 members,feedback,medium
Highly Recommended Superb,highly recommended superb,feedback,medium
Must Buy Awesome,must buy! awesome,feedback,medium
